participant_id	study	ses_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
sub-A00086551	NKI	ses-BAS1	-52	1	1	1	1	1	1	Pass
sub-A00086748	NKI	ses-BAS1	-84	1	1	1	1	1	1	Pass
sub-A00018030	NKI	ses-BAS1	-77	1	1	1	1	1	1	Pass
sub-A00027159	NKI	ses-TRT	-120	1	1	1	1	1	1	Pass
sub-A00028352	NKI	ses-BAS2	-69	1	1	1	1	1	1	Pass
sub-A00028429	NKI	ses-BAS1	-48	1	1	1	1	1	1	Pass
sub-A00028678	NKI	ses-BAS1	-70	1	1	1	1	1	1	Pass
sub-A00028753	NKI	ses-BAS2	-49	1	1	1	1	1	1	Pass
sub-A00028766	NKI	ses-BAS1	-128	1	0.75	1	1	1	0.95	Artifact
sub-A00028912	NKI	ses-BAS1	-25	1	1	1	1	1	1	Pass
sub-A00029303	NKI	ses-BAS1	-63	1	1	1	1	1	1	Pass
sub-A00031794	NKI	ses-BAS2	-49	1	1	1	1	1	1	Pass
sub-A00031881	NKI	ses-FLU1	-88	1	0.75	1	1	1	0.95	Artifact
sub-A00033232	NKI	ses-BAS1	-57	1	1	1	1	1	1	Pass
sub-A00033747	NKI	ses-BAS1	-58	1	1	1	1	1	1	Pass
sub-A00033747	NKI	ses-BAS2	-50	1	1	1	1	1	1	Pass
sub-A00033903	NKI	ses-BAS1	-44	1	1	1	1	1	1	Pass
sub-A00034350	NKI	ses-FLU1	-45	1	1	1	1	1	1	Pass
sub-A00035291	NKI	ses-BAS1	-83	1	1	1	1	1	1	Pass
sub-A00035292	NKI	ses-TRT	-99	1	1	1	1	1	1	Pass
sub-A00035337	NKI	ses-BAS1	-55	1	1	1	1	1	1	Pass
sub-A00035553	NKI	ses-BAS1	-62	1	1	1	1	1	1	Pass
sub-A00035633	NKI	ses-BAS1	-52	1	0.75	0.75	0.75	1	0.85	Artifact
sub-A00035827	NKI	ses-BAS1	-45	1	1	1	1	1	1	Pass
sub-A00035926	NKI	ses-BAS1	-98	1	1	1	1	1	1	Pass
sub-A00037112	NKI	ses-BAS2	-43	1	1	1	1	1	1	Pass
sub-A00037378	NKI	ses-BAS1	-57	1	1	1	1	1	1	Pass
sub-A00037387	NKI	ses-BAS1	-58	1	1	1	1	1	1	Pass
sub-A00037457	NKI	ses-FLU1	-53	1	1	1	1	0.75	0.95	Artifact
sub-A00037635	NKI	ses-BAS1	-63	1	1	1	1	1	1	Pass
sub-A00037767	NKI	ses-BAS1	-31	1	1	1	1	1	1	Pass
sub-A00037817	NKI	ses-BAS2	-97	1	1	1	1	1	1	Pass
sub-A00037818	NKI	ses-BAS1	-72	1	1	1	1	1	1	Pass
sub-A00038424	NKI	ses-BAS2	-143	1	1	1	1	1	1	Pass
sub-A00038522	NKI	ses-BAS1	-82	1	1	1	1	1	1	Pass
sub-A00038623	NKI	ses-FLU1	-73	1	1	1	1	1	1	Pass
sub-A00038623	NKI	ses-FLU2	-81	1	1	1	1	1	1	Pass
sub-A00038832	NKI	ses-BAS1	-54	1	1	1	1	1	1	Pass
sub-A00039257	NKI	ses-BAS1	-59	1	0.75	1	1	1	0.95	Artifact
sub-A00039393	NKI	ses-BAS1	-35	1	1	1	1	1	1	Pass
sub-A00039461	NKI	ses-BAS1	-88	1	1	1	1	1	1	Pass
sub-A00039490	NKI	ses-BAS1	-124	1	1	1	1	1	1	Pass
sub-A00039686	NKI	ses-BAS1	-149	1	0.5	0.75	1	0.75	0.8	Artifact
